id	user	created_at	source	in_reply_to_status_id	in_reply_to_user_id	in_reply_to_screen_name	retweet_count	text
1459998249184550919	MrUlmrich	2021-11-14 21:34:42+00:00	Twitter Web App	1.4599968307297116e+18	2729338881.0	Mon8wal	0	@Mon8wal Naja, erhlich gesagt: In des Land kommt dieses jahr niemand mehr;-) Und ja, wenn den Leuten das Klopapier auszugehen droht, das Bier, und irgendwelche Kalorienbombem, dann hilft das beste #ZeroCovid auch nix. Impfpflicht für alle hülfe vielleicht #imzentrum
1459998249939525641	herbert_klaus6	2021-11-14 21:34:42+00:00	Twitter Web App				0	RT @harald_eff: Mückstein hat gesagt, dass am Mittwoch, 10 Tage nach 2G-Einführung, weitere Maßnahmen zumindest diskutiert werden, nicht wi…
1459998270088953864	TraudePinter	2021-11-14 21:34:47+00:00	Twitter for Android				0	RT @unbehandelt: Hat der ORF Prof. von Laer auf den Gang gesetzt? #imzentrum
1459998289269596174	coronareise_at	2021-11-14 21:34:52+00:00	Twitter Web App				0	Nur mal so am Rande: Es ist 22 Uhr 34. In knapp 1,5 Std soll die VO u damit LD für Ungeimpfte etc. in Kraft treten. Bis dato jedoch immer noch nicht im RIS verkündet. #imzentrum
1459998290716540929	derludescher	2021-11-14 21:34:52+00:00	Twitter for iPhone				0	auch eine Strategie 😒
1459998334836477954	Chrisl7000	2021-11-14 21:35:03+00:00	TweetDeck				0	Rauch-Kallat entbehrlich, Neuigkeitswert null. #imzentrum
1459998348262391816	EstebanHubertus	2021-11-14 21:35:06+00:00	Twitter Web App				0	MRK glaubt Hände Waschen und Kontaktreduzierung würden die 4. Welle brechen..... Spoiler: Nein, das alleine reicht nicht #imzentrum #impflicht
1459998359490633729	SolautSonja	2021-11-14 21:35:09+00:00	Twitter Web App				0	Was schwurbelt die #RauchKallat da rum? #imzentrum
1459998365417189387	Marion_Marija	2021-11-14 21:35:10+00:00	Twitter for Android				0	Wir werden um eine Impfpflicht nicht umher kommen. So schaut's aus. #imzentrum
1459998399256748037	SolautSonja	2021-11-14 21:35:18+00:00	Twitter Web App				0	RT @TomMayerEuropa: Es ist ein langsam unerträglicher Skandal, dass kein Vertreter der Bundesregierung, kein Landeshauptmann, kein ÖVP-Poli…
1459998434556055559	mic_sag	2021-11-14 21:35:26+00:00	Twitter for iPhone				0	RT @TomMayerEuropa: Es ist ein langsam unerträglicher Skandal, dass kein Vertreter der Bundesregierung, kein Landeshauptmann, kein ÖVP-Poli…
1459998470027321349	lukele	2021-11-14 21:35:35+00:00	Twitter for iPhone				0	Die Relevanz der Maske wird weiterhin viel zu wenig betont… weil *Aerosole*… #imzentrum
